Stock_Ticker,Decision_Date,Affirmed_1__NotAff_0,"SM_[-20,0)_2LS"
XRX,"July 11, 2014",1,-0.022841902553562457
DPS,"July 10, 2014",0,0.009289971514960787
ACTG,"December 3, 2013",1,-0.026811055557781162
MSFT,"December 4, 2014",1,0.016951449271351175
NVDA,"February 8, 2013",1,0.00653084274196507
ODP,"June 30, 2015",1,-0.08147284566629098
SNPS,"October 17, 2016",1,0.029726180265200432
BDC,"April 17, 2015",1,0.03579778012205191
BAX,"May 9, 2016",1,0.07436398759536596
GE,"July 8, 2015",1,-0.020204560671041365
CSCO,"January 21, 2015",1,0.0219287230912569
JKHY,"October 13, 2016",0,-0.030372092919569754
PFE,"January 13, 2016",1,-0.03362198306275529
ORCL,"April 3, 2015",0,ERROR
USB,"February 21, 2017",0,0.0694094983143129
MT,"May 16, 2017",1,0.020202752668994378
PANW,"May 4, 2017",1,0.029783319225675727
CPIX,"January 26, 2017",1,0.06776210210081877
FB,"November 16, 2015",0,0.0636474249098821
CENT,"February 29, 2016",0,0.10273176518955832
JNJ,"January 14, 2014",1,0.03598355249070632
ABT,"June 26, 2013",1,-0.09372940020326469
AMZN,"December 30, 2014",1,-0.08180622694492574
GRMN,"August 8, 2016",1,0.2361095979239601
ALG,"May 26, 2016",1,0.05838726735801262
CELG,"June 17, 2015",1,-0.04625408530381822
HPQ,"December 3, 2015",0,-0.17882874237841664
NVO,"June 18, 2013",0,-0.061693587917565317
GRPN,"March 1, 2016",0,0.5638086661954586
XLNX,"April 12, 2017",1,-0.0650298516358021
GMED,"October 19, 2015",1,-0.06009321182594949
TMUS,"September 23, 2016",1,0.017589471452095554
EA,"December 7, 2016",1,-0.05332062386282622
MSFT,"May 22, 2015",1,0.09644597719210062
MSFT,"November 30, 2016",1,0.026070776585684637
BELFA,"December 16, 2015",1,-0.11221201873007454
QTM,"June 6, 2017",1,ERROR
INTC,"January 8, 2016",1,-0.08745608894012702
LLY,"January 13, 2016",1,-0.03531431096038754
ATHN,"March 10, 2017",1,0.009984309556799716
MSFT,"January 18, 2017",1,-0.0007993701867704379
AAPL,"July 17, 2014",1,0.02890056417670072
MYGN,"November 16, 2015",0,0.08107928936218942
XLNX,"July 9, 2015",1,-0.08511474934577887
HPQ,"August 4, 2015",0,-0.01815543930541711
SFLY,"May 17, 2016",1,-0.0016934381692999849
NWY,"April 25, 2016",1,-0.010840214552865168
CSCO,"June 16, 2015",0,-0.03688154121727602
XRX,"February 13, 2017",1,0.050572587794001304
HPQ,"December 28, 2016",1,0.017047787997980964
JNJ,"July 9, 2015",1,-0.004490378949913769
CSCO,"August 18, 2016",0,0.0029339858649715645
SUPN,"August 7, 2013",0,0.029120831699389185
AAPL,"September 10, 2014",0,0.020621704900320403
ADBE,"March 14, 2016",1,0.13765947619994967
GE,"July 9, 2015",1,-0.0456583113864679
AAPL,"August 10, 2016",0,0.11597435949817883
HPQ,"February 9, 2016",1,-0.12145238654636825
ODP,"July 31, 2015",0,-0.09211535561871305
MSFT,"September 14, 2015",1,-0.06551269235953097
